WikiID,Type
Q1413182,Monument
Q1421038,Monument
Q142565,Monument
Q1426406,Monument
Q1426779,Monument
Q1427281,Monument
Q1427304,Monument
Q1432337,Monument
Q1436129,Monument
Q1440761,Monument
Q1442165,Monument
Q1450424,Monument
Q1451968,Monument
Q1454323,Monument
Q1454373,Monument
Q1454545,Monument
Q1454573,Monument
Q1456740,Monument
Q1457593,Monument
Q1457790,Monument
Q1457809,Monument
Q146009,Monument
Q1465413,Monument
Q14681,Monument
Q1471421,Monument
Q1471596,Monument
Q1472798,Monument
Q1479106,Monument
Q1496875,Monument
Q1497510,Monument
Q1497557,Monument
Q1499912,Monument
Q1506827,Monument
Q1506850,Monument
Q1514142,Monument
Q1514691,Monument
Q1517058,Monument
Q1521515,Monument
Q1529642,Monument
Q1530714,Monument
Q153101,Monument
Q1534095,Monument
Q1534099,Monument
Q1534172,Monument
Q1534177,Monument
Q1534288,Monument
Q153525,Monument
Q1536479,Monument
Q1538554,Monument
Q1538713,Monument
Q1540402,Monument
Q1540732,Monument
Q1540926,Monument
Q1541300,Monument
Q1541854,Monument
Q1542538,Monument
Q1545312,Monument
Q1546860,Monument
Q1547160,Monument
Q154775,Monument
Q1548579,Monument
Q1548845,Monument
Q1549185,Monument
Q1549866,Monument
Q1551892,Monument
Q1552535,Monument
Q1553695,Monument
Q155443,Monument
Q1554599,Monument
Q1555458,Monument
Q1555490,Monument
Q1555495,Monument
Q1557143,Monument
Q1557145,Monument
Q1561555,Monument
Q1566682,Monument
Q1568236,Monument
Q1568502,Monument
Q1570099,Monument
Q1570113,Monument
Q1575647,Monument
Q1577575,Monument
Q1577816,Monument
Q1579766,Monument
Q1581475,Monument
Q1581868,Monument
Q1582758,Monument
Q1584990,Monument
Q1587850,Monument
Q1589509,Monument
Q1590785,Monument
Q1594216,Monument
Q1595816,Monument
Q159615,Monument
Q1596265,Monument
Q1601986,Monument
Q1603055,Monument
Q1603187,Monument
Q1609022,Monument
Q1614027,Monument
Q1615789,Monument
Q1615790,Monument
Q1619084,Monument
Q1625173,Monument
Q1627991,Monument
Q1629090,Monument
Q1630272,Monument
Q1633756,Monument
Q1635369,Monument
Q1638834,Monument
Q1639016,Monument
Q1642613,Monument
Q1647048,Monument
Q1656914,Monument
Q1661317,Monument
Q1663650,Monument
Q1667909,Monument
Q1668372,Monument
Q1671661,Monument
Q1678082,Monument
Q1679911,Monument
Q1683191,Monument
Q1690505,Monument
Q1691682,Monument
Q1692367,Monument
Q1696230,Monument
Q1700342,Monument
Q1705485,Monument
Q1706629,Monument
Q1707327,Monument
Q1707711,Monument
Q1710641,Monument
Q1710783,Monument
Q171517,Monument
Q1716627,Monument
Q1716812,Monument
Q1718074,Monument
Q1718380,Monument
Q1721550,Monument
Q1721556,Monument
Q1721649,Monument
Q1721746,Monument
Q1721747,Monument
Q1723373,Monument
Q1725740,Monument
Q1730097,Monument
Q1730098,Monument
Q1738829,Monument
Q1747799,Monument
Q1748884,Monument
Q1750466,Monument
Q1753584,Monument
Q1753664,Monument
Q1764037,Monument
Q1771696,Monument
Q1772000,Monument
Q1775095,Monument
Q1775481,Monument
Q1775661,Monument
Q1775673,Monument
Q1775768,Monument
Q1776206,Monument
Q1776209,Monument
Q1776246,Monument
Q1777292,Monument
Q1779597,Monument
Q1782958,Monument
Q1783863,Monument
Q1785563,Monument
Q1785636,Monument
Q1785776,Monument
Q1786431,Monument
Q178743,Monument
Q1788605,Monument
Q1788638,Monument
Q1788649,Monument
Q1788654,Monument
Q1788661,Monument
Q1788705,Monument
Q1790635,Monument
Q1790758,Monument
Q1795200,Monument
Q1798216,Monument
Q1800280,Monument
Q1800823,Monument
Q1801159,Monument
Q1802159,Monument
Q1802929,Monument
Q1804084,Monument
Q1806478,Monument
Q1806715,Monument
Q1812874,Monument
Q1813664,Monument
Q1815135,Monument
Q1817739,Monument
Q1819999,Monument
Q1820909,Monument
Q1823963,Monument
Q1826864,Monument
Q1849031,Monument
Q1862973,Monument
Q1864957,Monument
Q1873754,Monument
Q187531,Monument
Q1876534,Monument
Q1876699,Monument
Q1877872,Monument
Q1877873,Monument
Q1877877,Monument
Q1877879,Monument
Q1877883,Monument
