WikiID,Entity,Type
Q1188052,Denkmal für die Wiesn-Attentat-Opfer,Monument
Q1188065,Denkmal der Arbeiterklasse in Eisenach,Monument
Q1189742,Church of San Cebrián de Mazote,Monument
Q1191632,Deportationsmahnmal Putlitzbrücke,Monument
Q1191637,Mahnmal Schlachthoframpe,Monument
Q1197240,The Sower,Monument
Q1200600,Denkmal für den unbekannten Wehrmachtsdeserteur,Monument
Q1200604,"Sculpture of the Unknown Deserter, Potsdam",Monument
Q1200605,Deserteurdenkmal,Monument
Q1200606,Denkmal für Deserteure und Opfer der NS-Militärjustiz,Monument
Q1206383,Deutschmeister-Denkmal,Monument
Q1212213,Saint Mary the Protector monument in Cluj-Napoca,Monument
Q1212248,statue of Maria Theresa in Bratislava,Monument
Q1215645,Die Rampe,Monument
Q121933,Castle of Trujillo,Monument
Q1227084,Fontana dei Dioscuri,Monument
Q1229173,Cippus Perusinus,Monument
Q1235856,Dolmen de Matarrubilla,Monument
Q1235999,Kriegerdenkmal im Stadtpark Bochum,Monument
Q1236450,Tansania-Park,Monument
Q1246685,Leibdragonerdenkmal,Monument
Q1247269,Preußengrab Ichtershausen,Monument
Q1248701,Statue of John Henry Newman,Monument
Q1249989,Monastery of Santo Estevo de Ribas de Sil,Monument
Q1253089,Kalvarienbergkirche St. Margarethen,Monument
Q1254341,Jashar Pasha Mosque,Monument
Q1255665,Monument against war and fascism,Monument
Q1256184,Ludwigsdenkmal,Monument
Q125738,National Kaiser Wilhelm Monument,Monument
Q1258599,Weserliedanlage,Monument
Q1267606,Dusenddüwelswarf,Monument
Q127064,Bilbao Fine Arts Museum,Monument
Q127607,Almonacid de la Cuba Dam,Monument
Q1276162,Santuario del Santísimo Cristo de Tacoronte,Monument
Q1276503,Miluze,Monument
Q1276732,Handel monument,Monument
Q1278218,Santa Maria de Taüll,Monument
Q1279656,Eberhardsgruppe by Paul Müller,Monument
Q1280721,Santa María de Vilabertrán,Monument
Q1281663,Grenzdenkmal Berkach,Monument
Q1286354,Maritime Museum of Barcelona,Monument
Q1287808,Eduard-Pape-Denkmal,Monument
Q1293396,Robert-Blum-Denkmal,Monument
Q129913,Marinid Walls of Algeciras,Monument
Q1299762,Ehmsendenkmal,Monument
Q1300043,Kaiser-Wilhelm-Denkmal (Karlsruhe),Monument
Q1300187,Ehrenmal Marienfeld,Monument
Q1300189,Ehrenmal Buer,Monument
Q1300193,Ehrenmal an die Opfer von Krieg und Gewaltherrschaft,Monument
Q1300199,Ehrenmal der Luftwaffe,Monument
